"Oregon Liquor Control Commission Price Changes - Effective July 01, 2018"
"NOTE","ITEM NBR","STATUS CODE","BOTTLE PRICE","CASE PRICE","DESCRIPTION","PRICE CHANGE"
,"7178B","S",70.05,$420.30,"123 CERTIFIED ORGANIC ANEJ",6.00
"#","7202B","H",9.95,$119.40,"EVAN WILLIAMS EGG NOG",7.95
"#","7306B","H",9.95,$119.40,"CHRISTIAN BROS HOL NOG",7.95
"#","7484D","H",44.95,$179.80,"GLENFIDDICH SAMPLER PACK",29.50
,"8094B","R",53.95,$323.70,"ARDBEG SINGLE 10 YR ISLAY",4.00
,"8097B","R",62.95,$377.70,"REDBREAST IRISH WHISKEY",8.00
,"8106B","S",140.95,$845.70,"SPRINGBANK 15 YR.",5.00
,"8205B","R",19.95,$239.40,"PADDY OLD IRISH WHISKEY",3.00
"*","8211E","S",26.00,$312.00,"LUXARDO MARASCHINO",0.00
,"8346H","R",34.95,$209.70,"WISER'S DELUXE CANADIAN",5.00
"#","8389B","O",29.95,$359.40,"DULCE VIDA TEQUILA BLANCO",14.45-
,"8394B","S",26.95,$323.40,"ROTHMAN ORCHARD APRICOT",1.00
"#","8407B","O",34.95,$419.40,"DULCE VIDA TEQ REPOSADO",15.60-
,"8534B","S",28.95,$347.40,"ZAPOPAN TEQUILA REPOSADO",3.00
"%","8618B","R",18.95,$227.40,"FORTY CREEK",5.00-
,"8690B","S",62.95,$377.70,"OLD RAJ DRY GIN BLUE LBL",2.00
,"8851B","S",29.95,$359.40,"HAYMAN'S OLD TOM GIN",1.00
,"8852B","S",35.95,$431.40,"BATAVIA-ARRACK VAN OOSTEN",1.00
,"8856B","S",34.95,$419.40,"THE SCARLET IBIS RUM",2.00
,"8865B","S",26.95,$323.40,"ROTHMAN ORCHARD PEAR",1.00
,"8887B","S",43.95,$527.40,"ZIRBENZ STONE PINE LIQUEUR",9.00
,"8890B","R",23.95,$287.40,"KILBEGGAN IRISH WHISKEY",4.00
,"8907B","R",24.95,$299.40,"JIM BEAM RYE",2.00
